,Prefill,ISL: 4096,OSL: 1,,,,
,,,,,,,
,GPUs,Concurrency,1,4,8,16
,,TP=1,18822,344416,408146,394055
,1,TPSG,18822,344416,408146,394055
,,TPSU,18822,86104,51018,24628
,,,,,,,
,GPUs,Concurrency,1,4,8,16
,,TP=2,23919,373980,408597,425864
,2,TPSG,11960,186990,204298,212932
,,TPSU,23919,93495,51075,26616
,,,,,,,
,GPUs,Concurrency,1,4,8,16
,,TP=4,37416,378193,402546,434207
,4,TPSG,9354,94548,100636,108552
,,TPSU,37416,94548,50318,27138
,,,,,,,
,GPUs,Concurrency,1,4,8,16
,,TP=8,42357,365802,404128,410263
,8,TPSG,5295,45725,50516,51283
,,TPSU,42357,91450,50516,25641
,,,,,,,
